Per Capita Personal Income - 2005,,,,,
,1995,2004,2005,Percent Change 1995-2005 (adjusted for inflation),Percent Change 2004-2005 (adjusted for inflation)
,,,,,
United States,"$23,076","$33,090","$34,471",45.0%,1.1%
Minnesota,"24,078","36,163","37,290",50.4%,0.1%
Aitkin,"16,909","23,873","24,196",38.9%,-1.6%
Anoka,"22,824","33,870","34,875",48.3%,0.0%
Becker,"16,886","27,401","28,968",66.6%,2.6%
Beltrami,"16,577","25,087","25,571",49.8%,-1.0%
Benton,"18,298","27,827","28,612",51.8%,-0.2%
Big Stone,"15,707","28,126","29,005",79.3%,0.1%
Blue Earth,"20,555","29,842","31,602",49.3%,2.8%
Brown,"20,216","29,555","30,964",48.7%,1.7%
Carlton,"18,190","25,691","26,114",39.4%,-1.3%
Carver,"27,759","43,026","44,137",54.4%,-0.4%
Cass,"17,764","28,697","29,178",59.5%,-1.3%
Chippewa,"18,371","28,830","30,443",60.9%,2.5%
Chisago,"20,505","28,996","30,047",42.3%,0.6%
Clay,"17,157","26,626","27,368",54.9%,-0.2%
Clearwater,"14,492","22,184","22,486",50.6%,-1.6%
Cook,"21,977","30,762","32,312",42.7%,2.0%
Cottonwood,"18,007","29,309","30,937",66.8%,2.5%
Crow Wing,"18,786","26,725","27,107",40.1%,-1.5%
Dakota,"27,353","40,315","41,416",47.0%,-0.3%
Dodge,"19,295","31,508","32,298",62.5%,-0.5%
Douglas,"18,388","29,660","30,121",59.0%,-1.4%
Faribault,"18,414","28,650","32,732",72.6%,10.9%
Fillmore,"17,527","27,982","29,020",60.8%,0.7%
Freeborn,"18,131","27,720","28,626",53.3%,0.3%
Goodhue,"21,941","33,418","33,600",48.7%,-2.4%
Grant,"17,841","26,533","26,640",45.0%,-2.5%
Hennepin,"31,516","48,021","49,566",52.7%,0.2%
Houston,"19,542","29,906","30,765",52.8%,-0.1%
Hubbard,"16,894","25,412","26,208",50.6%,0.1%
Isanti,"19,516","28,789","29,489",46.7%,-0.6%
Itasca,"17,486","25,495","26,359",46.4%,0.4%
Jackson,"17,682","28,426","30,323",66.5%,3.6%
Kanabec,"16,967","24,562","24,910",42.5%,-1.5%
Kandiyohi,"19,886","30,938","32,085",56.6%,0.7%
Kittson,"17,847","27,438","27,766",51.0%,-1.8%
Koochiching,"17,916","29,785","29,830",61.6%,-2.8%
Lac qui Parle,"16,227","27,622","29,829",78.5%,4.8%
Lake,"18,116","30,682","32,655",75.0%,3.3%
Lake of the Woods,"16,290","23,939","24,677",47.1%,0.1%
Le Sueur,"20,460","29,207","29,813",41.5%,-0.9%
Lincoln,"15,652","27,192","29,359",82.1%,4.8%
Lyon,"19,759","30,078","31,838",56.4%,2.8%
McLeod,"21,951","29,743","30,713",35.8%,0.3%
Mahnomen,"15,304","22,168","24,305",54.2%,6.4%
Marshall,"16,872","25,743","26,894",54.8%,1.4%
Martin,"20,099","31,660","32,668",57.8%,0.2%
Meeker,"17,677","27,585","28,702",57.6%,1.0%
Mille Lacs,"17,449","23,976","23,972",33.4%,-2.9%
Morrison,"15,445","24,715","25,416",59.8%,-0.2%
Mower,"19,905","29,648","30,930",50.9%,1.3%
Murray,"17,620","28,878","30,404",67.5%,2.2%
Nicollet,"19,716","30,399","31,760",56.4%,1.4%
Nobles,"18,364","28,499","29,637",56.7%,1.0%
Norman,"17,689","26,071","27,414",50.5%,2.1%
Olmsted,"24,483","38,263","39,204",55.5%,-0.5%
Otter Tail,"18,189","26,901","27,760",48.2%,0.2%
Pennington,"19,278","31,824","33,671",69.6%,2.7%
Pine,"16,838","23,598","23,909",37.9%,-1.6%
Pipestone,"17,168","29,385","31,597",78.7%,4.4%
Polk,"17,914","26,574","27,502",49.1%,0.5%
Pope,"16,821","29,337","30,316",75.0%,0.3%
Ramsey,"26,450","39,369","40,883",50.1%,0.8%
Red Lake,"15,017","21,836","23,698",53.2%,5.4%
Redwood,"18,873","27,740","29,193",50.2%,2.2%
Renville,"18,458","26,607","27,012",42.1%,-1.4%
Rice,"19,118","26,495","26,906",36.6%,-1.4%
Rock,"18,917","28,308","30,721",57.7%,5.4%
Roseau,"19,372","28,673","31,495",57.8%,6.6%
St. Louis,"20,944","30,648","31,739",47.1%,0.5%
Scott,"24,096","34,284","34,955",40.8%,-1.0%
Sherburne,"19,935","27,386","27,530",34.1%,-2.4%
Sibley,"16,522","26,373","27,673",62.6%,1.9%
Stearns,"18,835","28,959","29,705",53.1%,-0.4%
Steele,"21,777","30,734","31,643",41.1%,0.0%
Stevens,"17,498","28,191","28,985",60.8%,-0.2%
Swift,"15,836","22,650","25,986",59.3%,11.4%
Todd,"14,565","22,335","23,073",53.8%,0.3%
Traverse,"17,571","26,072","27,073",49.6%,0.8%
Wabasha,"20,298","31,445","31,817",52.2%,-1.8%
Wadena,"15,198","23,844","24,642",57.4%,0.3%
Waseca,"19,180","27,024","28,115",42.3%,1.0%
Washington,"27,305","41,938","43,030",53.0%,-0.4%
Watonwan,"18,254","28,721","29,574",57.3%,0.0%
Wilkin,"17,583","27,213","27,846",53.8%,-0.7%
Winona,"18,928","28,130","28,943",48.5%,-0.1%
Wright,"20,767","29,923","30,778",43.9%,-0.1%
Yellow Medicine,"17,290","27,667","29,596",66.2%,3.9%
"Duluth, MN-WI (MSA)","20,124","29,150","30,092",45.2%,0.2%
"Fargo, ND-MN (MSA)","20,592","31,510","32,758",54.4%,0.9%
"Grand Forks, ND-MN (MSA)","18,507","27,670","29,021",52.2%,1.8%
"La Crosse, WI-MN (MSA)","20,581","29,922","30,857",45.6%,0.1%
"Minneapolis-St. Paul-Bloomington, MN-WI (MSA)","27,606","40,915","42,091",48.0%,-0.1%
"Rochester, MN (MSA)","23,342","36,652","37,517",56.0%,-0.6%
"St. Cloud, MN (MSA)","18,726","28,719","29,473",52.8%,-0.4%
"Albert Lea, MN Micropolitan SA","18,131","27,720","28,626",53.3%,0.3%
